Freq.	V(n001)	Ix(U1:OUT)	Ix(U2:OUT)
1.84784979742229e+02	6.72564627489479e-06,-6.79439132090072e-10	5.09189771887115e-09,-5.15970166177918e-13	1.89228881661077e-10,-1.88685673046622e-14
1.99526231496888e+02	6.72564626303703e-06,-7.33641437435088e-10	5.09189770986774e-09,-5.57128449014017e-13	1.89228881330437e-10,-2.03845912097958e-14
2.15443469003188e+02	6.72564624921189e-06,-7.92167744598213e-10	5.09189769937053e-09,-6.01570385554531e-13	1.89228880944936e-10,-2.20207582178401e-14
2.32630506715363e+02	6.72564623309297e-06,-8.55363001106673e-10	5.09189768713169e-09,-6.49557911621855e-13	1.89228880495475e-10,-2.37867135641407e-14
2.51188643150958e+02	6.72564621429968e-06,-9.23599672733594e-10	5.09189767286222e-09,-7.01373860330386e-13	1.89228879971439e-10,-2.56928668965044e-14
2.71227257933203e+02	6.72564619238832e-06,-9.97279938762441e-10	5.09189765622524e-09,-7.57323629054784e-13	1.89228879360458e-10,-2.77504486464964e-14
2.92864456462524e+02	6.72564616684155e-06,-1.07683806237850e-09	5.09189763682799e-09,-8.17736979436259e-13	1.89228878648105e-10,-2.99715894248325e-14
3.16227766016838e+02	6.72564613705620e-06,-1.16274295015565e-09	5.09189761421243e-09,-8.82969980923148e-13	1.89228877817562e-10,-3.23693805822565e-14
3.41454887383360e+02	6.72564610232903e-06,-1.25550091572490e-09	5.09189758784463e-09,-9.53407109397443e-13	1.89228876849219e-10,-3.49579528655638e-14
3.68694506451957e+02	6.72564606184013e-06,-1.35565866391191e-09	5.09189755710202e-09,-1.02946351321987e-12	1.89228875720214e-10,-3.77525601563333e-14
3.98107170553497e+02	6.72564601463353e-06,-1.46380651293138e-09	5.09189752125879e-09,-1.11158746008477e-12	1.89228874403889e-10,-4.07696824116417e-14
4.29866234708228e+02	6.72564595959468e-06,-1.58058187362546e-09	5.09189747946864e-09,-1.20026297895462e-12	1.89228872869167e-10,-4.40270916641305e-14
4.64158883361278e+02	6.72564589542410e-06,-1.70667300625615e-09	5.09189743074489e-09,-1.29601271294163e-12	1.89228871079813e-10,-4.75439935147497e-14
5.01187233627272e+02	6.72564582060669e-06,-1.84282307698566e-09	5.09189737393718e-09,-1.39940099960733e-12	1.89228868993578e-10,-5.13411160639283e-14
5.41169526546464e+02	6.72564573337600e-06,-1.98983453795458e-09	5.09189730770427e-09,-1.51103719706507e-12	1.89228866561207e-10,-5.54408342387293e-14
5.84341413373517e+02	6.72564563167249e-06,-2.14857385676982e-09	5.09189723048236e-09,-1.63157927545095e-12	1.89228863725270e-10,-5.98673167377169e-14
6.30957344480193e+02	6.72564551309490e-06,-2.31997662327090e-09	5.09189714044822e-09,-1.76173769480604e-12	1.89228860418810e-10,-6.46466506853358e-14
6.81292069057961e+02	6.72564537484358e-06,-2.50505306367102e-09	5.09189703547612e-09,-1.90227959237974e-12	1.89228856563760e-10,-6.98070041652180e-14
7.35642254459641e+02	6.72564521365439e-06,-2.70489399456417e-09	5.09189691308766e-09,-2.05403330392060e-12	1.89228852069105e-10,-7.53787869275575e-14
7.94328234724281e+02	6.72564502572161e-06,-2.92067725188418e-09	5.09189677039319e-09,-2.21789324570923e-12	1.89228846828718e-10,-8.13948526339027e-14
8.57695898590894e+02	6.72564480660808e-06,-3.15367463269211e-09	5.09189660402365e-09,-2.39482518582908e-12	1.89228840718878e-10,-8.78906420996403e-14
9.26118728128793e+02	6.72564455114047e-06,-3.40525939070169e-09	5.09189641005104e-09,-2.58587193621151e-12	1.89228833595330e-10,-9.49044482566921e-14
1.00000000000000e+03	6.72564425328714e-06,-3.67691432969467e-09	5.09189618389559e-09,-2.79215949848132e-12	1.89228825289880e-10,-1.02477612691923e-13
1.07977516232771e+03	6.72564390601569e-06,-3.97024054251267e-09	5.09189592021773e-09,-3.01490370010786e-12	1.89228815606438e-10,-1.10654766913496e-13
1.16591440117983e+03	6.72564350112695e-06,-4.28696684710536e-09	5.09189561279194e-09,-3.25541735992727e-12	1.89228804316373e-10,-1.19484109643218e-13
1.25892541179417e+03	6.72564302906141e-06,-4.62895997521490e-09	5.09189525435985e-09,-3.51511802511785e-12	1.89228791153127e-10,-1.29017674280303e-13
1.35935639087853e+03	6.72564247867347e-06,-4.99823557370937e-09	5.09189483645876e-09,-3.79553632537798e-12	1.89228775805907e-10,-1.39311655985995e-13
1.46779926762207e+03	6.72564183696837e-06,-5.39697008334909e-09	5.09189434922198e-09,-4.09832499325371e-12	1.89228757912379e-10,-1.50426705359427e-13
1.58489319246111e+03	6.72564108879532e-06,-5.82751356494072e-09	5.09189378114570e-09,-4.42526860418998e-12	1.89228737050048e-10,-1.62428363447042e-13
1.71132830416178e+03	6.72564021648979e-06,-6.29240354837805e-09	5.09189311881754e-09,-4.77829409286616e-12	1.89228712726367e-10,-1.75387345476362e-13
1.84784979742229e+03	6.72563919945652e-06,-6.79437998610737e-09	5.09189234659983e-09,-5.15948210867370e-12	1.89228684367043e-10,-1.89380034700653e-13
1.99526231496888e+03	6.72563801368319e-06,-7.33640139900642e-09	5.09189144626039e-09,-5.57107927638082e-12	1.89228651302517e-10,-2.04488894090710e-13
2.15443469003188e+03	6.72563663117353e-06,-7.92166230968255e-09	5.09189039654213e-09,-6.01551143460835e-12	1.89228612752118e-10,-2.20802981472017e-13
2.32630506715363e+03	6.72563501928636e-06,-8.55361206572581e-09	5.09188917266102e-09,-6.49539792962453e-12	1.89228567805681e-10,-2.38418435469206e-13
2.51188643150958e+03	6.72563313996491e-06,-9.23597516360523e-09	5.09188774572118e-09,-7.01356704892117e-12	1.89228515401999e-10,-2.57439091189218e-13
2.71227257933203e+03	6.72563094883835e-06,-9.97277319265601e-09	5.09188608203251e-09,-7.57307268474415e-12	1.89228454303851e-10,-2.77977025720237e-13
2.92864456462524e+03	6.72562839417423e-06,-1.07683485280915e-08	5.09188414231540e-09,-8.17721232619746e-12	1.89228383068671e-10,-3.00153308066511e-13
3.16227766016838e+03	6.72562541565708e-06,-1.16273899121464e-08	5.09188188077319e-09,-8.82954648468473e-12	1.89228300014614e-10,-3.24098625409376e-13
3.41454887383360e+03	6.72562194296451e-06,-1.25549600734800e-08	5.09187924401121e-09,-9.53391966742078e-12	1.89228203180840e-10,-3.49954067679039e-13
3.68694506451957e+03	6.72561789410696e-06,-1.35565255467978e-08	5.09187616977603e-09,-1.02944830219812e-11	1.89228090281019e-10,-3.77872068182677e-13
3.98107170553497e+03	6.72561317349205e-06,-1.46379888673856e-08	5.09187258548584e-09,-1.11157187835568e-11	1.89227958649673e-10,-4.08017125741462e-13
4.29866234708228e+03	6.72560766966786e-06,-1.58057233290243e-08	5.09186840651688e-09,-1.20024666695185e-11	1.89227805179056e-10,-4.40566882729689e-13
4.64158883361278e+03	6.72560125269182e-06,-1.70666105084740e-08	5.09186353420581e-09,-1.29599523744924e-11	1.89227626245842e-10,-4.75713144608847e-13
5.01187233627272e+03	6.72559377106316e-06,-1.84280807756275e-08	5.09185785352039e-09,-1.39938183329598e-11	1.89227417625370e-10,-5.13663090982235e-13
5.41169526546464e+03	6.72558504814647e-06,-1.98981570254596e-08	5.09185123034409e-09,-1.51101569275587e-11	1.89227174392550e-10,-5.54640251130583e-13
5.84341413373518e+03	6.72557487800205e-06,-2.14855018862788e-08	5.09184350831006e-09,-1.63155463389039e-11	1.89226890804491e-10,-5.98886226780589e-13
6.30957344480193e+03	6.72556302052468e-06,-2.31994686783031e-08	5.09183450511010e-09,-1.76170892409704e-11	1.89226560166331e-10,-6.46661624960070e-13
6.81292069057961e+03	6.72554919577607e-06,-2.50501564177732e-08	5.09182400819139e-09,-1.90224545708623e-11	1.89226174672059e-10,-6.98247984318487e-13
7.35642254459641e+03	6.72553307737736e-06,-2.70484691841543e-08	5.09181176973951e-09,-2.05399226103505e-11	1.89225725220724e-10,-7.53949267385813e-13
7.94328234724281e+03	6.72551428480583e-06,-2.92061801920945e-08	5.09179750082934e-09,-2.21784336402993e-11	1.89225201202003e-10,-8.14093565179971e-13
8.57695898590894e+03	6.72549237441424e-06,-3.15360009353783e-08	5.09178086460646e-09,-2.39476404474944e-11	1.89224590244809e-10,-8.79035268308420e-13
9.26118728128794e+03	6.72546682896100e-06,-3.40516557972639e-08	5.09176146833724e-09,-2.58579649813756e-11	1.89223877926050e-10,-9.49156956720187e-13
1.00000000000000e+04	6.72543704540453e-06,-3.67679625504902e-08	5.09173885414148e-09,-2.79206594836685e-11	1.89223047430504e-10,-1.02487161613559e-12
1.07977516232771e+04	6.72540232067423e-06,-3.97009192006468e-08	5.09171248818855e-09,-3.01478724351580e-11	1.89222079154034e-10,-1.10662508539139e-12
1.16591440117983e+04	6.72536183508292e-06,-4.28677976586388e-08	5.09168174810259e-09,-3.25527196891673e-11	1.89220950238957e-10,-1.19489901924205e-12
1.25892541179417e+04	6.72531463299036e-06,-4.62872447613861e-08	5.09164590828064e-09,-3.51493611823489e-11	1.89219634038930e-10,-1.29021299894750e-12
1.35935639087853e+04	6.72525960026269e-06,-4.99793911948861e-08	5.09160412277808e-09,-3.79530836500404e-11	1.89218099486233e-10,-1.39312827225760e-12
1.46779926762207e+04	6.72519543799808e-06,-5.39659689093911e-08	5.09155540535870e-09,-4.09803897870783e-11	1.89216310362622e-10,-1.50425048335860e-12
1.58489319246111e+04	6.72512063190070e-06,-5.82704376532621e-08	5.09149860624101e-09,-4.42490943355490e-11	1.89214224442790e-10,-1.62423357828693e-12
1.71132830416178e+04	6.72503341658420e-06,-6.29181212886779e-08	5.09143238499437e-09,-4.77784275992546e-11	1.89211792500081e-10,-1.75378344086326e-12
1.84784979742229e+04	6.72493173396723e-06,-6.79363545888147e-08	5.09135517894928e-09,-5.15891469184431e-11	1.89208957144832e-10,-1.89366214584624e-12
1.99526231496888e+04	6.72481318478574e-06,-7.33546412509646e-08	5.09126516638150e-09,-5.57036566602872e-11	1.89205651475881e-10,-2.04469198258838e-12
2.15443469003188e+04	6.72467497208739e-06,-7.92048238925062e-08	5.09116022360822e-09,-6.01461373101928e-11	1.89201797504658e-10,-2.20776030034668e-12
2.32630506715363e+04	6.72451383538743e-06,-8.55212668247563e-08	5.09103787499351e-09,-6.49426842679715e-11	1.89197304310988e-10,-2.38382530572990e-12
2.51188643150958e+04	6.72432597394941e-06,-9.23410524215295e-08	5.09089523469678e-09,-7.01214569632221e-11	1.89192065914446e-10,-2.57392055881533e-12
2.71227257933203e+04	6.72410695740467e-06,-9.97041919124738e-08	5.09072893880730e-09,-7.57128389280870e-11	1.89185958779256e-10,-2.77916117188685e-12
2.92864456462524e+04	6.72385162163354e-06,-1.07653851431661e-07	5.09053506628852e-09,-8.17496094553766e-11	1.89178838902149e-10,-3.00075070408600e-12
3.16227766016838e+04	6.72355394749631e-06,-1.16236594135685e-07	5.09030904690037e-09,-8.82671274547689e-11	1.89170538450113e-10,-3.23998660706945e-12
3.41454887383360e+04	6.72320691961262e-06,-1.25502639167287e-07	5.09004555397255e-09,-9.53035281090509e-11	1.89160861797616e-10,-3.49826906624705e-12
3.68694506451958e+04	6.72280236193991e-06,-1.35506138171828e-07	5.08973837956186e-09,-1.02899932851453e-10	1.89149580968716e-10,-3.77710707967722e-12
3.98107170553497e+04	6.72233074638360e-06,-1.46305469967814e-07	5.08938028913278e-09,-1.11100673138018e-10	1.89136430268904e-10,-4.07812840222126e-12
4.29866234708228e+04	6.72178097007637e-06,-1.57963553815158e-07	5.08896285244913e-09,-1.19953528333617e-10	1.89121100112712e-10,-4.40308632329926e-12
4.64158883361278e+04	6.72114009627973e-06,-1.70548181504253e-07	5.08847624684454e-09,-1.29509977901036e-10	1.89103229758807e-10,-4.75387086986990e-12
5.01187233627272e+04	6.72039305307806e-06,-1.84132368184232e-07	5.08790902844549e-09,-1.39825467812367e-10	1.89082398938120e-10,-5.13251717224061e-12
5.41169526546464e+04	6.71952228314145e-06,-1.98794721440154e-07	5.08724786624168e-09,-1.50959690824822e-10	1.89058118073464e-10,-5.54121639680212e-12
5.84341413373518e+04	6.71850733681748e-06,-2.14619827585418e-07	5.08647723312688e-09,-1.62976879828723e-10	1.89029816938485e-10,-5.98232629128879e-12
